ts,open,high,low,close,volume,symbol,tf
2025-12-17 20:31:27.451879,100.64984752391331,101.96385999936365,99.77401983057206,100.55671415301124,913,SYN,1h
2025-12-17 21:31:27.451879,100.66986853560547,101.40706770609042,99.92419368138971,100.47801414339868,1881,SYN,1h
2025-12-17 22:31:27.451879,101.04756575895209,101.24942495882473,100.36115756482805,101.18908553280268,1598,SYN,1h
2025-12-17 23:31:27.451879,102.84880710466285,103.45593135654748,102.78747033175542,102.79093896821321,1878,SYN,1h
2025-12-18 00:31:27.451879,102.54516139253425,103.32838546254018,102.43729536172884,102.61192507909026,1409,SYN,1h
2025-12-18 01:31:27.451879,102.383341964045,102.83629962369902,101.96898362070363,102.43323979529055,687,SYN,1h
2025-12-18 02:31:27.451879,104.05066307253573,105.04434518561857,103.38731333216445,104.11233858935435,1813,SYN,1h
2025-12-18 03:31:27.451879,104.88310384171366,105.64056421443009,103.97098005488535,104.97380023617593,544,SYN,1h
2025-12-18 04:31:27.451879,104.54903205536876,105.64120337698003,104.45153535294367,104.54395941226626,582,SYN,1h
2025-12-18 05:31:27.451879,105.08650527560144,105.73682728337495,103.61992353654989,105.17389953966732,1646,SYN,1h
2025-12-18 06:31:27.451879,104.77793966756911,106.129574558987,103.55369453284997,104.74960942070351,857,SYN,1h
2025-12-18 07:31:27.451879,104.31936801740544,104.5307541036909,104.12257461467854,104.32460908853507,1589,SYN,1h
2025-12-18 08:31:27.451879,104.61462661271642,106.81117534758594,103.88954982356135,104.6396300479412,1435,SYN,1h
2025-12-18 09:31:27.451879,102.60715733732084,103.40816285714529,100.78342454773762,102.7003644561797,874,SYN,1h
2025-12-18 10:31:27.451879,100.93223935628455,102.74364608669462,100.90698814636521,100.99048777429287,661,SYN,1h
2025-12-18 11:31:27.451879,100.5591292951028,100.68209228662286,100.36088932552151,100.48322514848296,1903,SYN,1h
2025-12-18 12:31:27.451879,99.57564388722942,100.17411862095348,98.01951689974871,99.52578970855251,1881,SYN,1h
2025-12-18 13:31:27.451879,99.80060625150224,100.38165586162269,99.26809241038818,99.89826232178116,1711,SYN,1h
2025-12-18 14:31:27.451879,99.06093998048337,99.36840854207553,98.03663268040593,99.05110100626511,821,SYN,1h
2025-12-18 15:31:27.451879,97.78504856120459,98.12608875831397,95.89996524582752,97.71162930114404,949,SYN,1h
2025-12-18 16:31:27.451879,99.03675661768675,99.72103074284432,97.99107126029404,99.20236557067015,1997,SYN,1h
2025-12-18 17:31:27.451879,99.09172481770959,99.60609206154682,98.46141415028356,99.03791155903197,1536,SYN,1h
2025-12-18 18:31:27.451879,99.09850426614557,99.18836386930708,98.93962165579497,99.16421282960363,683,SYN,1h
2025-12-18 19:31:27.451879,97.8666817864245,99.90624433129247,96.87243515916103,97.81087103363876,610,SYN,1h
2025-12-18 20:31:27.451879,97.2627986448493,99.01863235770253,96.97479681932303,97.33709207164421,1007,SYN,1h
