ts,symbol,side,qty,price
2026-01-07T20:31:35.841208,SYN,BUY,0.855837125640933,116.84466238258875
2026-01-07T20:31:35.843087,SYN,SELL,0.855837125640933,109.12434160785848
2026-01-07T20:31:35.881474,SYN,BUY,0.8555975459372646,116.7990255930496
2026-01-07T20:31:35.884413,SYN,SELL,0.8555975459372646,109.12434160785848
2026-01-07T20:31:35.955979,SYN,BUY,0.8898425738678869,112.22920962969735
2026-01-07T20:31:35.960760,SYN,SELL,0.8898425738678869,116.64053862921229
2026-01-07T20:31:35.999928,SYN,BUY,0.8916949335106088,112.038950316792
2026-01-07T20:31:36.001342,SYN,SELL,0.8916949335106088,116.6484634966114
2026-01-07T20:31:36.006589,SYN,BUY,0.8914266185911237,112.11763870113371
2026-01-07T20:31:36.007746,SYN,SELL,0.8914266185911237,116.47159012389746
2026-01-07T20:31:36.017893,SYN,BUY,0.8953829908068851,111.664440812081
2026-01-07T20:31:36.018972,SYN,SELL,0.8953829908068851,115.92445220045694
2026-01-07T20:31:36.037662,SYN,BUY,0.893401013886433,111.95371837251258
2026-01-07T20:31:36.042970,SYN,SELL,0.893401013886433,116.36949549361165
2026-01-07T20:31:36.066978,SYN,BUY,0.8974337806840272,111.49345871815906
2026-01-07T20:31:36.067619,SYN,SELL,0.8974337806840272,115.47046581500048
2026-01-07T20:31:36.084552,SYN,BUY,0.8991146614042557,111.32358647375644
2026-01-07T20:31:36.085263,SYN,SELL,0.8991146614042557,115.13224297853037
2026-01-07T20:31:36.102751,SYN,BUY,0.8929647535215044,112.12748823966041
2026-01-07T20:31:36.103835,SYN,SELL,0.8929647535215044,115.79447349583968
2026-01-07T20:31:36.109037,SYN,BUY,0.8787827978625129,113.97312555160663
2026-01-07T20:31:36.110253,SYN,SELL,0.8787827978625129,117.74691054761766
2026-01-07T20:31:36.138283,SYN,BUY,0.8704526856055935,115.10076196632917
2026-01-07T20:31:36.139429,SYN,SELL,0.8704526856055935,119.11082830492386
2026-01-07T20:31:36.165079,SYN,BUY,0.882633245091474,113.55073503724024
2026-01-07T20:31:36.166342,SYN,SELL,0.882633245091474,117.73553028369416
2026-01-07T20:31:36.172686,SYN,BUY,0.8799489870111855,113.9379338094706
2026-01-07T20:31:36.173564,SYN,SELL,0.8799489870111855,118.04999401326627
2026-01-07T20:31:36.236325,SYN,BUY,0.8870772086882214,113.06201061179516
2026-01-07T20:31:36.237365,SYN,SELL,0.8870772086882214,117.32403003256586
2026-01-07T20:31:36.242303,SYN,BUY,0.8837173278909392,113.53349670478977
2026-01-07T20:31:36.243899,SYN,SELL,0.8837173278909392,117.56308962552119
2026-01-07T20:31:36.263714,SYN,BUY,0.8811967222332883,113.89750426023008
2026-01-07T20:31:36.264593,SYN,SELL,0.8811967222332883,117.8675431344591
2026-01-07T20:31:36.268662,SYN,BUY,0.8782690308023513,114.31584924766834
2026-01-07T20:31:36.271341,SYN,SELL,0.8782690308023513,118.17098892979845
2026-01-07T20:31:36.292061,SYN,BUY,0.8709540557538122,115.3136689915803
2026-01-07T20:31:36.292944,SYN,SELL,0.8709540557538122,119.10536501663488
2026-01-07T20:31:36.333624,SYN,BUY,0.869335143681765,115.56522419633866
2026-01-07T20:31:36.334825,SYN,SELL,0.869335143681765,119.18823522576446
2026-01-07T20:31:36.359945,SYN,BUY,0.8505643771655521,118.15141709462355
2026-01-07T20:31:36.362322,SYN,SELL,0.8505643771655521,122.06047175633792
2026-01-07T20:31:36.384848,SYN,BUY,0.8553841183604564,117.52335796584447
2026-01-07T20:31:36.386802,SYN,SELL,0.8553841183604564,121.32034480501203
2026-01-07T20:31:36.392908,SYN,BUY,0.8504884935392825,118.23683919431818
2026-01-07T20:31:36.393886,SYN,SELL,0.8504884935392825,122.20355588978347
2026-01-07T20:31:36.423965,SYN,BUY,0.8361439659082468,120.30438460208849
2026-01-07T20:31:36.425642,SYN,SELL,0.8361439659082468,124.32464150647074
2026-01-07T20:31:36.434232,SYN,BUY,0.8291719849487962,121.355254994119
2026-01-07T20:31:36.434970,SYN,SELL,0.8291719849487962,125.33064423375808
2026-01-07T20:31:36.441455,SYN,BUY,0.8182619858815129,123.01233528243176
2026-01-07T20:31:36.443793,SYN,SELL,0.8182619858815129,126.94805182030305
2026-01-07T20:31:36.482275,SYN,BUY,0.8107517865572351,124.19029008936363
2026-01-07T20:31:36.483077,SYN,SELL,0.8107517865572351,128.22831882300767
2026-01-07T20:31:36.544067,SYN,BUY,0.7940887444365495,126.8362200252414
2026-01-07T20:31:36.551152,SYN,SELL,0.7940887444365495,130.58169381143193
2026-01-07T20:31:36.580255,SYN,BUY,0.7947332077370475,126.7695045966649
2026-01-07T20:31:36.583843,SYN,SELL,0.7947332077370475,130.69069215756974
2026-01-07T20:31:36.595721,SYN,BUY,0.7895693609699034,127.63675989958953
2026-01-07T20:31:36.597445,SYN,SELL,0.7895693609699034,131.61206828941744
2026-01-07T20:31:36.734775,SYN,BUY,0.79912602220005,126.14836270135127
2026-01-07T20:31:36.739296,SYN,SELL,0.79912602220005,129.52098245154036
2026-01-07T20:31:36.748003,SYN,BUY,0.7969012906573687,126.53307303759138
2026-01-07T20:31:36.749219,SYN,SELL,0.7969012906573687,129.83339265257868
2026-01-07T20:31:36.772887,SYN,BUY,0.8039843374708414,125.44976725237301
2026-01-07T20:31:36.774087,SYN,SELL,0.8039843374708414,128.69199178067956
2026-01-07T20:31:36.779623,SYN,BUY,0.8018422022526329,125.81614321904885
2026-01-07T20:31:36.783560,SYN,SELL,0.8018422022526329,129.2686097170572
2026-01-07T20:31:36.872468,SYN,BUY,0.8281216350451743,121.85571506894568
2026-01-07T20:31:36.873616,SYN,SELL,0.8281216350451743,125.78951588132917
2026-01-07T20:31:36.881062,SYN,BUY,0.8158542885572972,123.7266343659651
2026-01-07T20:31:36.882903,SYN,SELL,0.8158542885572972,128.0005424081934
2026-01-07T20:31:36.901496,SYN,BUY,0.808706636622981,124.86202373268836
2026-01-07T20:31:36.904865,SYN,SELL,0.808706636622981,129.1298724678927
2026-01-07T20:31:36.917087,SYN,BUY,0.8094523735349115,124.78836051216642
2026-01-07T20:31:36.918041,SYN,SELL,0.8094523735349115,129.00946755034195
2026-01-07T20:31:36.944921,SYN,BUY,0.8170834123210001,123.66347639333263
2026-01-07T20:31:36.947215,SYN,SELL,0.8170834123210001,128.1634990219123
2026-01-07T20:31:36.970622,SYN,BUY,0.8161222481913615,123.8529100452459
2026-01-07T20:31:36.971581,SYN,SELL,0.8161222481913615,128.14955724082938
2026-01-07T20:31:36.989842,SYN,BUY,0.817970267657537,123.6147045421591
2026-01-07T20:31:36.990938,SYN,SELL,0.817970267657537,127.57617393370974
2026-01-07T20:31:37.003036,SYN,BUY,0.8053962318992679,125.58356404359522
2026-01-07T20:31:37.004891,SYN,SELL,0.8053962318992679,129.63608673759836
2026-01-07T20:31:37.027391,SYN,BUY,0.8023364907200717,126.10188061961223
2026-01-07T20:31:37.030434,SYN,SELL,0.8023364907200717,130.2258654424101
2026-01-07T20:31:37.091938,SYN,BUY,0.800280522137825,126.46590476644732
2026-01-07T20:31:37.092835,SYN,SELL,0.800280522137825,130.54021928161598
2026-01-07T20:31:37.140469,SYN,BUY,0.7595148124445253,133.29533038833162
2026-01-07T20:31:37.141247,SYN,SELL,0.7595148124445253,138.2139640889252
2026-01-07T20:31:37.159027,SYN,BUY,0.7562913701759595,133.9114903703493
2026-01-07T20:31:37.161459,SYN,SELL,0.7562913701759595,138.69288121140372
2026-01-07T20:31:37.170745,SYN,BUY,0.7399072555180412,136.92423500861693
2026-01-07T20:31:37.177532,SYN,SELL,0.7399072555180412,141.8998319420128
2026-01-07T20:31:37.244285,SYN,BUY,0.7790404033138244,130.09212075650427
2026-01-07T20:31:37.245690,SYN,SELL,0.7790404033138244,134.81377589774772
2026-01-07T20:31:37.274335,SYN,BUY,0.7761968049030415,130.61477362565878
2026-01-07T20:31:37.275201,SYN,SELL,0.7761968049030415,135.3829250564946
2026-01-07T20:31:37.281360,SYN,BUY,0.7617239778797881,133.14369878430665
2026-01-07T20:31:37.282656,SYN,SELL,0.7617239778797881,138.21704009409444
2026-01-07T20:31:37.312290,SYN,BUY,0.7647151727869821,132.67208867477373
2026-01-07T20:31:37.313145,SYN,SELL,0.7647151727869821,137.28302611419423
2026-01-07T20:31:37.322269,SYN,BUY,0.7607743055941013,133.4043313674079
2026-01-07T20:31:37.323389,SYN,SELL,0.7607743055941013,137.90924224593672
2026-01-07T20:31:37.348883,SYN,BUY,0.7564290092984949,134.2146142913177
2026-01-07T20:31:37.353294,SYN,SELL,0.7564290092984949,138.88912921530945
2026-01-07T20:31:37.379096,SYN,BUY,0.7504917620091561,135.3221438684898
2026-01-07T20:31:37.380160,SYN,SELL,0.7504917620091561,139.7701696598136
2026-01-07T20:31:37.393789,SYN,BUY,0.7527076962886137,134.96674005884833
2026-01-07T20:31:37.395605,SYN,SELL,0.7527076962886137,139.62092504667368
2026-01-07T20:31:37.410576,SYN,BUY,0.7437183912047006,136.64379444486204
2026-01-07T20:31:37.412236,SYN,SELL,0.7437183912047006,141.32938635569707
2026-01-07T20:31:37.455344,SYN,BUY,0.7591614573595696,133.908690868157
2026-01-07T20:31:37.457135,SYN,SELL,0.7591614573595696,138.61530767093674
2026-01-07T20:31:37.461737,SYN,BUY,0.7586089976566781,134.05194718075037
2026-01-07T20:31:37.462916,SYN,SELL,0.7586089976566781,138.62093445994378
2026-01-07T20:31:37.482411,SYN,BUY,0.7566646022062749,134.4408598951188
2026-01-07T20:31:37.486175,SYN,SELL,0.7566646022062749,138.83217241860015
2026-01-07T20:31:37.518445,SYN,BUY,0.7638616066128847,133.21632154195396
2026-01-07T20:31:37.521475,SYN,SELL,0.7638616066128847,137.94826063188876
2026-01-07T20:31:37.539135,SYN,BUY,0.7597608003590074,133.98156782619552
2026-01-07T20:31:37.539874,SYN,SELL,0.7597608003590074,138.52240935343553
2026-01-07T20:31:37.545250,SYN,BUY,0.7541911177575799,135.0153895374392
2026-01-07T20:31:37.546675,SYN,SELL,0.7541911177575799,139.8110434650079
2026-01-07T20:31:37.572613,SYN,BUY,0.7637626291978661,133.36936856204008
2026-01-07T20:31:37.574736,SYN,SELL,0.7637626291978661,138.76298802137393
2026-01-07T20:31:37.598446,SYN,BUY,0.7610778967985115,133.89259528259765
2026-01-07T20:31:37.600081,SYN,SELL,0.7610778967985115,139.35803086866954
2026-01-07T20:31:37.616930,SYN,BUY,0.7545029549882567,135.11312386219944
2026-01-07T20:31:37.617596,SYN,SELL,0.7545029549882567,140.38260460498802
2026-01-07T20:31:37.624929,SYN,BUY,0.7534658744099753,135.35048334842602
2026-01-07T20:31:37.625893,SYN,SELL,0.7534658744099753,140.40549752767737
2026-01-07T20:31:37.657517,SYN,BUY,0.7281230367182638,140.11233553456478
2026-01-07T20:31:37.658291,SYN,SELL,0.7281230367182638,145.29314483121587
2026-01-07T20:31:37.680171,SYN,BUY,0.7153979414387652,142.6558519868248
2026-01-07T20:31:37.681397,SYN,SELL,0.7153979414387652,148.03540670260514
2026-01-07T20:31:37.709637,SYN,BUY,0.6947972880602717,146.9394743244397
2026-01-07T20:31:37.712453,SYN,SELL,0.6947972880602717,128.78068015903315
2026-01-07T20:31:37.804978,SYN,BUY,0.7174339042354988,142.12601747723986
2026-01-07T20:31:37.806483,SYN,SELL,0.7174339042354988,129.81456700326936
2026-01-07T20:31:37.812273,SYN,BUY,0.7057787897096021,144.34653333415875
2026-01-07T20:31:37.813472,SYN,SELL,0.7057787897096021,129.81456700326936
2026-01-07T20:31:37.874296,SYN,BUY,0.7133802895518093,142.66330604362588
2026-01-07T20:31:37.877197,SYN,SELL,0.7133802895518093,129.81456700326936
2026-01-07T20:31:37.885218,SYN,BUY,0.7095799830828149,143.29682449408017
